cbi,ccode,date,adv,mp,mps,yield10y_2day,yield2y_2day,tp10y_2day,tp2y_2day,ex_rate_regime,us_integ,kaopen,vuln_index,trade_open,fin_depth,dollar_exp,dollar_debt,mpu_level,mpu,us_yield,vix
0.0224,44,15455,1,-0.0397,-0.0173,-0.5125501528635675,-0.22813220581257052,-0.10330172823954031,0.06287560598840025,3,7.63872,2.36,NA,123.682,166.693,202.50761,39.81551,-0.40290659323529465,-0.3939079,2.191,18.1
-0.0372,44,15511,1,0.046,0.008800000000000002,-0.27458063320147685,-0.15208810679075596,-0.06563992793440147,0.0302582045490709,3,7.63872,2.36,NA,123.682,166.693,202.50761,39.81551,-0.40951880323529466,-0.2304355,1.801,18.38
-0.0165,44,15553,1,0.0237,0.007199999999999998,-0.4027180570089546,-0.10646168235793527,0.06412252771876942,0.06394065855410686,3,7.63872,2.36,NA,123.682,166.693,202.50761,39.81551,-0.42328050323529465,-0.09736201,1.67,18.93
0.0322,44,15596,1,-0.0452,-0.012999999999999998,0.5674660268900845,0.3041762439991363,0.08430211454426027,0.06621661088774015,3,7.63872,2.36,NA,123.682,166.693,202.50761,39.81551,-0.4729166532352947,-0.95869666,1.884,15.8
0.0023,44,15637,1,0.0019,0.0042,0.03661071997444161,5.77903837621471e-9,0.014615677451686392,0.07603077716977169,3,7.63872,2.36,NA,123.682,166.693,202.50761,39.81551,-0.4885078332352947,0.33749142,1.921,18.83
-0.0137,44,15686,1,0.0099,-0.0037999999999999996,0.8969617835988818,-5.892353152391708e-9,0.4964552674814813,-0.016166502703096188,3,7.63872,2.36,NA,123.682,166.693,202.50761,39.81551,-0.49339627323529467,0.056651343,1.82799999999999,15.57
-0.0181,44,15735,1,0.009,-0.009100000000000002,-0.3844123995598571,0.15208813720838035,-0.33469200410749345,0.08938369043629775,3,7.51088,2.36,NA,131.797,168.286,NA,NA,-0.4623802532352947,-0.038498525,2.157,13.31
-0.0075,44,15784,1,0.002,-0.0055,0.03661034471484331,5.6657242083902e-9,-0.00258588213796182,-0.04575095715790312,3,7.51088,2.36,NA,131.797,168.286,NA,NA,-0.44501367323529467,-0.012640963,2.132,14.39
-0.0042,44,15826,1,-0.002,-0.0062,-0.03661093048592358,-6.798868776309621e-9,0.032222035037969,0.039360260183641846,3,7.51088,2.36,NA,131.797,168.286,NA,NA,-0.5262454332352946,0.018197268,1.781,13.52
-0.0598,44,15875,1,0.0895,0.029699999999999997,2.709191246215244,-4.305950088116783e-9,1.478229731377161,1.1492415328851877,3,7.51088,2.36,NA,131.797,168.286,NA,NA,-0.46037375323529467,1.6442602,2.513,16.61
0.0132,44,15917,1,-0.0144,-0.0011999999999999997,-0.07322150767866437,-5.099151848386429e-9,-0.013632512274501747,0.06887310304535815,3,7.51088,2.36,NA,131.797,168.286,NA,NA,-0.3947507332352947,0.28313076,2.791,13.39
0.0032,44,15966,1,-0.0243,-0.021099999999999997,-0.2745807338808812,-9.065157760060339e-10,-0.17978559907324768,-0.14129439064684038,3,7.51088,2.36,NA,131.797,168.286,NA,NA,-0.32933553323529463,-1.8920255,2.896,14.53
-0.0213,44,16008,1,0.0133,-0.008,0.21966514358723124,3.9660069762907643e-10,0.15503526362398598,0.15193955850223373,3,7.51088,2.36,NA,131.797,168.286,NA,NA,-0.4290223932352947,-0.39640307,2.771,13.41
0.0473,44,16057,1,-0.0287,0.018600000000000002,0.4759383986370623,6.57223968021999e-9,0.29035898317049175,0.11603558350821783,3,7.51088,2.36,NA,131.797,168.286,NA,NA,-0.46368723323529465,0.52103615,3.176,16.21
-0.0149,44,16099,1,0.0052,-0.0097,-1.0800151546542616,4.079321296203397e-9,-0.6542370432639136,-0.2885676567228734,3,7.44816,2.36,NA,116.86,169.165,NA,NA,-0.43953897323529467,-0.28106233,2.907,15.8
0.0052,44,16148,1,0.0064,0.0116,0.530855169625546,5.77903837621471e-9,0.3721287608911909,0.13983454650469931,3,7.44816,2.36,NA,116.86,169.165,NA,NA,-0.4945797732352947,0.44195515,2.95,14.52
2e-4,44,16190,1,-0.0055,-0.0053,0.25627459134010794,0.36501149279896355,0.12644405576708562,0.1840886423380256,3,7.44816,2.36,NA,116.86,169.165,NA,NA,-0.49921565323529465,-0.18504272,2.789,13.71
0.0059,44,16239,1,-0.021,-0.015100000000000002,-0.2745797362395102,0.07604406708330895,-0.25764977895556457,-0.07195419837198684,3,7.44816,2.36,NA,116.86,169.165,NA,NA,-0.4447274132352947,-0.46603024,2.741,12.06
-0.041,44,16281,1,0.0425,0.0015000000000000013,0.34780176195947365,-0.13687930979961133,0.3424826183410522,0.25382023509288903,3,7.44816,2.36,NA,116.86,169.165,NA,NA,-0.3961127032352947,0.22006226,2.707,13.28
0.0171,44,16330,1,-0.0142,0.0029,-0.05491561226006551,0.030417615274626306,-0.09074064147795056,-0.0887636359690428,3,7.44816,2.36,NA,116.86,169.165,NA,NA,-0.3408518032352946,-0.16853087,2.775,12.73
